2025-04-16 13:06:10,038 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0.1, 0.2, 0.3, 0.4, 0.5]), neighbor_selection='corr_threshold', score_modes=['robust_zscore'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=4, gif_duration=500)
2025-04-16 13:06:10,040 - INFO - 当前评分模式: ['robust_zscore']
2025-04-16 13:06:10,040 - INFO - 
==================================================
2025-04-16 13:06:10,040 - INFO - 开始执行网格搜索...
2025-04-16 13:06:10,041 - INFO - [omi-1] Starting grid search...
2025-04-16 13:06:13,101 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.1, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:37,898 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=3.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:38,910 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=4.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:38,986 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=4.5, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:40,345 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=5.0, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:41,305 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=5.5, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:42,291 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=6.0, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:42,292 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=6.5, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:42,991 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.3, threshold=7.0, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:44,510 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:44,761 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=0.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:45,582 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=1.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:46,247 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=1.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:47,801 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=2.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:47,973 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=2.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:48,893 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=3.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:49,261 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=3.5, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:51,186 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=4.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 13:06:51,187 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=4.5, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:51,929 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=5.0, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:52,198 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=5.5, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:54,256 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=6.0, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:54,257 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=6.5, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:54,773 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.4, threshold=7.0, P=0.7350, R=0.9663, F1=0.8350
2025-04-16 13:06:55,317 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=0.0, P=0.8830, R=0.9326, F1=0.9071
2025-04-16 13:06:56,576 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=0.5, P=0.8830, R=0.9326, F1=0.9071
2025-04-16 13:06:57,732 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=1.0, P=0.8830, R=0.9326, F1=0.9071
2025-04-16 13:06:57,733 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=1.5, P=0.8830, R=0.9326, F1=0.9071
2025-04-16 13:06:58,001 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=2.0, P=0.8830, R=0.9326, F1=0.9071
2025-04-16 13:06:59,330 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=2.5, P=0.8925, R=0.9326, F1=0.9121
2025-04-16 13:07:00,668 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=3.0, P=0.8925, R=0.9326, F1=0.9121
2025-04-16 13:07:00,825 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=3.5, P=0.8925, R=0.9326, F1=0.9121
2025-04-16 13:07:00,826 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=4.0, P=0.8925, R=0.9326, F1=0.9121
2025-04-16 13:07:02,291 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=4.5, P=0.8925, R=0.9326, F1=0.9121
2025-04-16 13:07:03,748 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=5.0, P=0.8925, R=0.9326, F1=0.9121
2025-04-16 13:07:03,749 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=5.5, P=0.8925, R=0.9326, F1=0.9121
2025-04-16 13:07:03,852 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=6.0, P=0.8913, R=0.9213, F1=0.9061
2025-04-16 13:07:05,451 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=6.5, P=0.8913, R=0.9213, F1=0.9061
2025-04-16 13:07:06,161 - INFO - [omi-1.txt] mode=robust_zscore, corr_threshold=0.5, threshold=7.0, P=0.8913, R=0.9213, F1=0.9061
2025-04-16 13:07:06,183 - INFO - [omi-10] Starting grid search...
2025-04-16 13:07:09,367 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=0.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:09,368 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=0.5, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:09,419 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=1.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:09,420 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=1.5, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:11,382 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=2.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:11,408 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=2.5, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:11,409 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=3.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:11,458 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=3.5, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:13,458 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=4.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:13,459 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=4.5, P=0.4724, R=0.9836, F1=0.6383
2025-04-16 13:07:13,460 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=5.0, P=0.4800, R=0.9836, F1=0.6452
2025-04-16 13:07:13,472 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=5.5, P=0.4800, R=0.9836, F1=0.6452
2025-04-16 13:07:16,041 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=6.0, P=0.4839, R=0.9836, F1=0.6486
2025-04-16 13:07:16,471 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=6.5, P=0.4839, R=0.9836, F1=0.6486
2025-04-16 13:07:16,472 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.1, threshold=7.0, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 13:07:16,474 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=0.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:18,513 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=0.5, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:19,196 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=1.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:19,197 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=1.5, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:19,639 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=2.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:21,715 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=2.5, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:22,415 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=3.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:22,416 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=3.5, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:22,733 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=4.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 13:07:25,342 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=4.5, P=0.4724, R=0.9836, F1=0.6383
2025-04-16 13:07:25,343 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=5.0, P=0.4800, R=0.9836, F1=0.6452
2025-04-16 13:07:25,641 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=5.5, P=0.4800, R=0.9836, F1=0.6452
2025-04-16 13:07:25,642 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=6.0, P=0.4839, R=0.9836, F1=0.6486
2025-04-16 13:07:28,301 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=6.5, P=0.4839, R=0.9836, F1=0.6486
2025-04-16 13:07:28,546 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.2, threshold=7.0, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 13:07:28,673 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=0.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:28,743 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=0.5, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:31,321 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=1.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:31,672 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=1.5, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:31,673 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=2.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:31,674 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=2.5, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:34,697 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=3.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:34,698 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=3.5, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:34,698 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=4.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:34,826 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=4.5, P=0.4720, R=0.9672, F1=0.6344
2025-04-16 13:07:36,894 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=5.0, P=0.4797, R=0.9672, F1=0.6413
2025-04-16 13:07:37,333 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=5.5, P=0.4797, R=0.9672, F1=0.6413
2025-04-16 13:07:38,169 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=6.0, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 13:07:38,170 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=6.5, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 13:07:39,589 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.3, threshold=7.0, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 13:07:40,417 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=0.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:41,122 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=0.5, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:41,272 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=1.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:42,718 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=1.5, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:43,881 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=2.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:43,881 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=2.5, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:44,220 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=3.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:45,747 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=3.5, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:46,853 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=4.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 13:07:46,869 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=4.5, P=0.4720, R=0.9672, F1=0.6344
2025-04-16 13:07:47,235 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=5.0, P=0.4797, R=0.9672, F1=0.6413
2025-04-16 13:07:48,503 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=5.5, P=0.4797, R=0.9672, F1=0.6413
2025-04-16 13:07:50,089 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=6.0, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 13:07:50,218 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=6.5, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 13:07:50,218 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.4, threshold=7.0, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 13:07:51,517 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=0.0, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:07:53,311 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=0.5, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:07:53,311 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=1.0, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:07:53,313 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=1.5, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:07:54,423 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=2.0, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:07:55,902 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=2.5, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:07:55,903 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=3.0, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:07:56,388 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=3.5, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:07:57,486 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=4.0, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:07:58,913 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=4.5, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:07:58,914 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=5.0, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:07:59,140 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=5.5, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:08:00,119 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=6.0, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:08:01,620 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=6.5, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:08:01,763 - INFO - [omi-10.txt] mode=robust_zscore, corr_threshold=0.5, threshold=7.0, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 13:08:01,782 - INFO - [omi-11] Starting grid search...
2025-04-16 13:08:04,846 - INFO - [omi-11.txt] mode=robust_zscore, corr_threshold=0.1, threshold=0.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 13:08:04,899 - INFO - [omi-11.txt] mode=robust_zscore, corr_threshold=0.1, threshold=0.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 13:08:04,899 - INFO - [omi-11.txt] mode=robust_zscore, corr_threshold=0.1, threshold=1.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 13:08:04,932 - INFO - [omi-11.txt] mode=robust_zscore, corr_threshold=0.1, threshold=1.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 13:08:06,841 - INFO - [omi-11.txt] mode=robust_zscore, corr_threshold=0.1, threshold=2.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 13:08:06,933 - INFO - [omi-11.txt] mode=robust_zscore, corr_threshold=0.1, threshold=2.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 13:08:06,933 - INFO - [omi-11.txt] mode=robust_zscore, corr_threshold=0.1, threshold=3.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 13:08:06,933 - INFO - [omi-11.txt] mode=robust_zscore, corr_threshold=0.1, threshold=3.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 13:08:08,810 - INFO - [omi-11.txt] mode=robust_zscore, corr_threshold=0.1, threshold=4.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 13:08:08,886 - INFO - [omi-11.txt] mode=robust_zscore, corr_threshold=0.1, threshold=4.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 13:08:08,898 - INFO - [omi-11.txt] mode=robust_zscore, corr_threshold=0.1, threshold=5.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 13:08:08,900 - INFO - [omi-11.txt] mode=robust_zscore, corr_threshold=0.1, threshold=5.5, P=0.3434, R=0.9828, F1=0.5089
