2025-04-16 11:48:18,088 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['robust_zscore'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/use_topkTrue', visual_dir='./visual/omi/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-16 11:48:18,089 - INFO - 当前评分模式: ['robust_zscore']
2025-04-16 11:48:18,089 - INFO - 
==================================================
2025-04-16 11:48:18,089 - INFO - 开始执行网格搜索...
2025-04-16 11:48:18,092 - INFO - [omi-1] Starting grid search...
2025-04-16 11:48:21,153 - INFO - [omi-1.txt] mode=robust_zscore, top_k=1, threshold=1.0, use_topk=True, P=0.6849, R=0.5618, F1=0.6173
2025-04-16 11:48:57,563 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=6.5, use_topk=True, P=0.7528, R=0.7528, F1=0.7528
2025-04-16 11:48:57,564 - INFO - [omi-1.txt] mode=robust_zscore, top_k=4, threshold=7.0, use_topk=True, P=0.7586, R=0.7416, F1=0.7500
2025-04-16 11:48:59,772 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=1.0, use_topk=True, P=0.7477, R=0.8989, F1=0.8163
2025-04-16 11:49:00,679 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=1.5, use_topk=True, P=0.7477, R=0.8989, F1=0.8163
2025-04-16 11:49:00,680 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=2.0, use_topk=True, P=0.7547, R=0.8989, F1=0.8205
2025-04-16 11:49:00,680 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=2.5, use_topk=True, P=0.7524, R=0.8876, F1=0.8144
2025-04-16 11:49:02,745 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=3.0, use_topk=True, P=0.7524, R=0.8876, F1=0.8144
2025-04-16 11:49:03,318 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=3.5, use_topk=True, P=0.7524, R=0.8876, F1=0.8144
2025-04-16 11:49:03,601 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=4.0, use_topk=True, P=0.7596, R=0.8876, F1=0.8187
2025-04-16 11:49:03,640 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=4.5, use_topk=True, P=0.7549, R=0.8652, F1=0.8063
2025-04-16 11:49:05,097 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=5.0, use_topk=True, P=0.7549, R=0.8652, F1=0.8063
2025-04-16 11:49:05,601 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=5.5, use_topk=True, P=0.7549, R=0.8652, F1=0.8063
2025-04-16 11:49:05,777 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=6.0, use_topk=True, P=0.7500, R=0.8427, F1=0.7937
2025-04-16 11:49:05,778 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=6.5, use_topk=True, P=0.7576, R=0.8427, F1=0.7979
2025-04-16 11:49:07,265 - INFO - [omi-1.txt] mode=robust_zscore, top_k=5, threshold=7.0, use_topk=True, P=0.7653, R=0.8427, F1=0.8021
2025-04-16 11:49:07,744 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=1.0, use_topk=True, P=0.7523, R=0.9213, F1=0.8283
2025-04-16 11:49:07,946 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=1.5, use_topk=True, P=0.7523, R=0.9213, F1=0.8283
2025-04-16 11:49:07,947 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=2.0, use_topk=True, P=0.7593, R=0.9213, F1=0.8325
2025-04-16 11:49:09,431 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=2.5, use_topk=True, P=0.7570, R=0.9101, F1=0.8265
2025-04-16 11:49:09,941 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=3.0, use_topk=True, P=0.7570, R=0.9101, F1=0.8265
2025-04-16 11:49:10,058 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=3.5, use_topk=True, P=0.7547, R=0.8989, F1=0.8205
2025-04-16 11:49:10,082 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=4.0, use_topk=True, P=0.7619, R=0.8989, F1=0.8247
2025-04-16 11:49:11,577 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=4.5, use_topk=True, P=0.7596, R=0.8876, F1=0.8187
2025-04-16 11:49:12,216 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=5.0, use_topk=True, P=0.7596, R=0.8876, F1=0.8187
2025-04-16 11:49:12,231 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=5.5, use_topk=True, P=0.7596, R=0.8876, F1=0.8187
2025-04-16 11:49:12,357 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=6.0, use_topk=True, P=0.7573, R=0.8764, F1=0.8125
2025-04-16 11:49:13,773 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=6.5, use_topk=True, P=0.7647, R=0.8764, F1=0.8168
2025-04-16 11:49:14,446 - INFO - [omi-1.txt] mode=robust_zscore, top_k=6, threshold=7.0, use_topk=True, P=0.7723, R=0.8764, F1=0.8211
2025-04-16 11:49:14,456 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=1.0, use_topk=True, P=0.7545, R=0.9326, F1=0.8342
2025-04-16 11:49:14,500 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=1.5, use_topk=True, P=0.7545, R=0.9326, F1=0.8342
2025-04-16 11:49:15,934 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=2.0, use_topk=True, P=0.7545, R=0.9326, F1=0.8342
2025-04-16 11:49:16,658 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=2.5, use_topk=True, P=0.7523, R=0.9213, F1=0.8283
2025-04-16 11:49:16,667 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=3.0, use_topk=True, P=0.7523, R=0.9213, F1=0.8283
2025-04-16 11:49:16,706 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=3.5, use_topk=True, P=0.7477, R=0.8989, F1=0.8163
2025-04-16 11:49:18,259 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=4.0, use_topk=True, P=0.7619, R=0.8989, F1=0.8247
2025-04-16 11:49:19,061 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=4.5, use_topk=True, P=0.7596, R=0.8876, F1=0.8187
2025-04-16 11:49:19,118 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=5.0, use_topk=True, P=0.7596, R=0.8876, F1=0.8187
2025-04-16 11:49:19,179 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=5.5, use_topk=True, P=0.7596, R=0.8876, F1=0.8187
2025-04-16 11:49:20,592 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=6.0, use_topk=True, P=0.7573, R=0.8764, F1=0.8125
2025-04-16 11:49:21,525 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=6.5, use_topk=True, P=0.7647, R=0.8764, F1=0.8168
2025-04-16 11:49:21,526 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=7.0, use_topk=True, P=0.7723, R=0.8764, F1=0.8211
2025-04-16 11:49:21,623 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=1.0, use_topk=True, P=0.7522, R=0.9551, F1=0.8416
2025-04-16 11:49:23,092 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=1.5, use_topk=True, P=0.7522, R=0.9551, F1=0.8416
2025-04-16 11:49:24,117 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=2.0, use_topk=True, P=0.7589, R=0.9551, F1=0.8458
2025-04-16 11:49:24,118 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=2.5, use_topk=True, P=0.7589, R=0.9551, F1=0.8458
2025-04-16 11:49:24,229 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=3.0, use_topk=True, P=0.7589, R=0.9551, F1=0.8458
2025-04-16 11:49:25,729 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=3.5, use_topk=True, P=0.7568, R=0.9438, F1=0.8400
2025-04-16 11:49:26,604 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=4.0, use_topk=True, P=0.7636, R=0.9438, F1=0.8442
2025-04-16 11:49:26,605 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=4.5, use_topk=True, P=0.7636, R=0.9438, F1=0.8442
2025-04-16 11:49:26,729 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=5.0, use_topk=True, P=0.7636, R=0.9438, F1=0.8442
2025-04-16 11:49:28,208 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=5.5, use_topk=True, P=0.7636, R=0.9438, F1=0.8442
2025-04-16 11:49:28,942 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=6.0, use_topk=True, P=0.7706, R=0.9438, F1=0.8485
2025-04-16 11:49:29,074 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=6.5, use_topk=True, P=0.7757, R=0.9326, F1=0.8469
2025-04-16 11:49:29,140 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=7.0, use_topk=True, P=0.7810, R=0.9213, F1=0.8454
2025-04-16 11:49:30,441 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=1.0, use_topk=True, P=0.7522, R=0.9551, F1=0.8416
2025-04-16 11:49:31,188 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=1.5, use_topk=True, P=0.7522, R=0.9551, F1=0.8416
2025-04-16 11:49:31,286 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=2.0, use_topk=True, P=0.7589, R=0.9551, F1=0.8458
2025-04-16 11:49:31,405 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=2.5, use_topk=True, P=0.7589, R=0.9551, F1=0.8458
2025-04-16 11:49:32,631 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=3.0, use_topk=True, P=0.7589, R=0.9551, F1=0.8458
2025-04-16 11:49:33,462 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=3.5, use_topk=True, P=0.7589, R=0.9551, F1=0.8458
2025-04-16 11:49:33,542 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=4.0, use_topk=True, P=0.7589, R=0.9551, F1=0.8458
2025-04-16 11:49:33,731 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=4.5, use_topk=True, P=0.7589, R=0.9551, F1=0.8458
2025-04-16 11:49:34,877 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=5.0, use_topk=True, P=0.7589, R=0.9551, F1=0.8458
2025-04-16 11:49:35,661 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=5.5, use_topk=True, P=0.7589, R=0.9551, F1=0.8458
2025-04-16 11:49:35,760 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=6.0, use_topk=True, P=0.7658, R=0.9551, F1=0.8500
2025-04-16 11:49:35,929 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=6.5, use_topk=True, P=0.7727, R=0.9551, F1=0.8543
2025-04-16 11:49:36,905 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=7.0, use_topk=True, P=0.7798, R=0.9551, F1=0.8586
2025-04-16 11:49:36,919 - INFO - [omi-10] Starting grid search...
2025-04-16 11:49:40,691 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=1.0, use_topk=True, P=0.4828, R=0.9180, F1=0.6328
2025-04-16 11:49:40,692 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=1.5, use_topk=True, P=0.4828, R=0.9180, F1=0.6328
2025-04-16 11:49:40,693 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=2.0, use_topk=True, P=0.4870, R=0.9180, F1=0.6364
2025-04-16 11:49:40,693 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=2.5, use_topk=True, P=0.4912, R=0.9180, F1=0.6400
2025-04-16 11:49:42,932 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=3.0, use_topk=True, P=0.4956, R=0.9180, F1=0.6437
2025-04-16 11:49:43,084 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=3.5, use_topk=True, P=0.4956, R=0.9180, F1=0.6437
2025-04-16 11:49:43,086 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=4.0, use_topk=True, P=0.4956, R=0.9180, F1=0.6437
2025-04-16 11:49:43,142 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=4.5, use_topk=True, P=0.4956, R=0.9180, F1=0.6437
2025-04-16 11:49:45,106 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=5.0, use_topk=True, P=0.4956, R=0.9180, F1=0.6437
2025-04-16 11:49:45,234 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=5.5, use_topk=True, P=0.5000, R=0.9180, F1=0.6474
2025-04-16 11:49:45,270 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=6.0, use_topk=True, P=0.5000, R=0.9016, F1=0.6433
2025-04-16 11:49:45,420 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=6.5, use_topk=True, P=0.5000, R=0.9016, F1=0.6433
2025-04-16 11:49:47,297 - INFO - [omi-10.txt] mode=robust_zscore, top_k=1, threshold=7.0, use_topk=True, P=0.5094, R=0.8852, F1=0.6467
2025-04-16 11:49:47,473 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=1.0, use_topk=True, P=0.4750, R=0.9344, F1=0.6298
2025-04-16 11:49:47,521 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=1.5, use_topk=True, P=0.4750, R=0.9344, F1=0.6298
2025-04-16 11:49:47,643 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=2.0, use_topk=True, P=0.4750, R=0.9344, F1=0.6298
2025-04-16 11:49:49,547 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=2.5, use_topk=True, P=0.4831, R=0.9344, F1=0.6369
2025-04-16 11:49:49,624 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=3.0, use_topk=True, P=0.4872, R=0.9344, F1=0.6404
2025-04-16 11:49:49,804 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=3.5, use_topk=True, P=0.4872, R=0.9344, F1=0.6404
2025-04-16 11:49:49,882 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=4.0, use_topk=True, P=0.4872, R=0.9344, F1=0.6404
2025-04-16 11:49:51,981 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=4.5, use_topk=True, P=0.4872, R=0.9344, F1=0.6404
2025-04-16 11:49:51,983 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=5.0, use_topk=True, P=0.4872, R=0.9344, F1=0.6404
2025-04-16 11:49:52,174 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=5.5, use_topk=True, P=0.4872, R=0.9344, F1=0.6404
2025-04-16 11:49:52,274 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=6.0, use_topk=True, P=0.4870, R=0.9180, F1=0.6364
2025-04-16 11:49:54,378 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=6.5, use_topk=True, P=0.4870, R=0.9180, F1=0.6364
2025-04-16 11:49:54,410 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=7.0, use_topk=True, P=0.4870, R=0.9180, F1=0.6364
2025-04-16 11:49:54,606 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=1.0, use_topk=True, P=0.4754, R=0.9508, F1=0.6339
2025-04-16 11:49:54,681 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=1.5, use_topk=True, P=0.4754, R=0.9508, F1=0.6339
2025-04-16 11:49:56,640 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=2.0, use_topk=True, P=0.4754, R=0.9508, F1=0.6339
2025-04-16 11:49:56,642 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=2.5, use_topk=True, P=0.4874, R=0.9508, F1=0.6444
2025-04-16 11:49:56,869 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=3.0, use_topk=True, P=0.4915, R=0.9508, F1=0.6480
2025-04-16 11:49:56,949 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=3.5, use_topk=True, P=0.4915, R=0.9508, F1=0.6480
2025-04-16 11:49:58,960 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=4.0, use_topk=True, P=0.4915, R=0.9508, F1=0.6480
2025-04-16 11:49:59,162 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=4.5, use_topk=True, P=0.4915, R=0.9508, F1=0.6480
2025-04-16 11:49:59,411 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=5.0, use_topk=True, P=0.4915, R=0.9508, F1=0.6480
2025-04-16 11:49:59,413 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=5.5, use_topk=True, P=0.4915, R=0.9508, F1=0.6480
2025-04-16 11:50:01,167 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=6.0, use_topk=True, P=0.4957, R=0.9508, F1=0.6517
2025-04-16 11:50:01,426 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=6.5, use_topk=True, P=0.4957, R=0.9508, F1=0.6517
2025-04-16 11:50:01,676 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=7.0, use_topk=True, P=0.4957, R=0.9508, F1=0.6517
2025-04-16 11:50:01,677 - INFO - [omi-10.txt] mode=robust_zscore, top_k=4, threshold=1.0, use_topk=True, P=0.4754, R=0.9508, F1=0.6339
2025-04-16 11:50:03,695 - INFO - [omi-10.txt] mode=robust_zscore, top_k=4, threshold=1.5, use_topk=True, P=0.4754, R=0.9508, F1=0.6339
2025-04-16 11:50:03,988 - INFO - [omi-10.txt] mode=robust_zscore, top_k=4, threshold=2.0, use_topk=True, P=0.4754, R=0.9508, F1=0.6339
2025-04-16 11:50:04,126 - INFO - [omi-10.txt] mode=robust_zscore, top_k=4, threshold=2.5, use_topk=True, P=0.4874, R=0.9508, F1=0.6444
