2025-04-16 12:44:10,746 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0.1, 0.2, 0.3, 0.4, 0.5]), neighbor_selection='corr_threshold', score_modes=['range_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_corr_threshold', visual_dir='./visual/omi/neighbor_corr_threshold', num_workers=4, gif_duration=500)
2025-04-16 12:44:10,746 - INFO - 当前评分模式: ['range_ratio']
2025-04-16 12:44:10,746 - INFO - 
==================================================
2025-04-16 12:44:10,747 - INFO - 开始执行网格搜索...
2025-04-16 12:44:10,749 - INFO - [omi-1] Starting grid search...
2025-04-16 12:44:13,872 - INFO - [omi-1.txt] mode=range_ratio, corr_threshold=0.1, threshold=0.0, P=0.7395, R=0.9888, F1=0.8462
2025-04-16 12:45:11,188 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=2.5, P=0.4917, R=0.9672, F1=0.6519
2025-04-16 12:45:11,210 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=3.0, P=0.4917, R=0.9672, F1=0.6519
2025-04-16 12:45:11,236 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=3.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:13,141 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=4.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:13,216 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=4.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:13,294 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=5.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:13,295 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=5.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:15,914 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=6.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:16,000 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=6.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:16,233 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.1, threshold=7.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:16,234 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=0.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 12:45:19,030 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=0.5, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 12:45:19,320 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=1.0, P=0.4688, R=0.9836, F1=0.6349
2025-04-16 12:45:19,402 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=1.5, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 12:45:19,718 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=2.0, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 12:45:22,122 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=2.5, P=0.4917, R=0.9672, F1=0.6519
2025-04-16 12:45:22,478 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=3.0, P=0.4917, R=0.9672, F1=0.6519
2025-04-16 12:45:22,694 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=3.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:23,189 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=4.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:25,396 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=4.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:25,585 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=5.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:25,934 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=5.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:26,115 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=6.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:28,599 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=6.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:28,830 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.2, threshold=7.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:29,448 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=0.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 12:45:29,449 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=0.5, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 12:45:31,879 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=1.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 12:45:31,991 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=1.5, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 12:45:32,546 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=2.0, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 12:45:32,547 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=2.5, P=0.4917, R=0.9672, F1=0.6519
2025-04-16 12:45:35,002 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=3.0, P=0.4917, R=0.9672, F1=0.6519
2025-04-16 12:45:35,124 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=3.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:35,659 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=4.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:35,859 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=4.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:38,514 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=5.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:38,515 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=5.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:39,092 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=6.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:39,153 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=6.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:41,498 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.3, threshold=7.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:41,958 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=0.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 12:45:42,428 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=0.5, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 12:45:42,428 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=1.0, P=0.4683, R=0.9672, F1=0.6310
2025-04-16 12:45:44,717 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=1.5, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 12:45:45,427 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=2.0, P=0.4836, R=0.9672, F1=0.6448
2025-04-16 12:45:45,428 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=2.5, P=0.4917, R=0.9672, F1=0.6519
2025-04-16 12:45:45,923 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=3.0, P=0.4917, R=0.9672, F1=0.6519
2025-04-16 12:45:47,990 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=3.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:48,050 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=4.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:48,934 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=4.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:48,975 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=5.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:51,174 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=5.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:51,267 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=6.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:52,032 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=6.5, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:52,340 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.4, threshold=7.0, P=0.4958, R=0.9672, F1=0.6556
2025-04-16 12:45:54,602 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=0.0, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 12:45:54,602 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=0.5, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 12:45:55,076 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=1.0, P=0.5258, R=0.8361, F1=0.6456
2025-04-16 12:45:55,647 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=1.5, P=0.5312, R=0.8361, F1=0.6497
2025-04-16 12:45:57,361 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=2.0, P=0.5312, R=0.8361, F1=0.6497
2025-04-16 12:45:57,841 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=2.5, P=0.5312, R=0.8361, F1=0.6497
2025-04-16 12:45:58,169 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=3.0, P=0.5312, R=0.8361, F1=0.6497
2025-04-16 12:45:58,704 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=3.5, P=0.5312, R=0.8361, F1=0.6497
2025-04-16 12:46:00,395 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=4.0, P=0.5368, R=0.8361, F1=0.6538
2025-04-16 12:46:01,022 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=4.5, P=0.5368, R=0.8361, F1=0.6538
2025-04-16 12:46:01,184 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=5.0, P=0.5368, R=0.8361, F1=0.6538
2025-04-16 12:46:01,930 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=5.5, P=0.5426, R=0.8361, F1=0.6581
2025-04-16 12:46:03,786 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=6.0, P=0.5426, R=0.8361, F1=0.6581
2025-04-16 12:46:03,817 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=6.5, P=0.5426, R=0.8361, F1=0.6581
2025-04-16 12:46:03,817 - INFO - [omi-10.txt] mode=range_ratio, corr_threshold=0.5, threshold=7.0, P=0.5426, R=0.8361, F1=0.6581
2025-04-16 12:46:03,831 - INFO - [omi-11] Starting grid search...
2025-04-16 12:46:06,978 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=0.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 12:46:06,979 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=0.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 12:46:06,989 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=1.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 12:46:06,989 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=1.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 12:46:08,900 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=2.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 12:46:08,965 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=2.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 12:46:08,997 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=3.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 12:46:08,997 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=3.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 12:46:10,841 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=4.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 12:46:10,914 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=4.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 12:46:10,922 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=5.0, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 12:46:10,955 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=5.5, P=0.3434, R=0.9828, F1=0.5089
2025-04-16 12:46:13,556 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=6.0, P=0.3455, R=0.9828, F1=0.5112
2025-04-16 12:46:13,557 - INFO - [omi-11.txt] mode=range_ratio, corr_threshold=0.1, threshold=6.5, P=0.3497, R=0.9828, F1=0.5158
